Location,Element,Start Time,End Time,Value
連江縣,最高溫度,2026-04-27T12:00:00+08:00,2026-04-27T18:00:00+08:00,24
連江縣,最高溫度,2026-04-27T18:00:00+08:00,2026-04-28T06:00:00+08:00,20
連江縣,最高溫度,2026-04-28T06:00:00+08:00,2026-04-28T18:00:00+08:00,23
連江縣,最高溫度,2026-04-28T18:00:00+08:00,2026-04-29T06:00:00+08:00,20
連江縣,最高溫度,2026-04-29T06:00:00+08:00,2026-04-29T18:00:00+08:00,20
連江縣,最高溫度,2026-04-29T18:00:00+08:00,2026-04-30T06:00:00+08:00,16
連江縣,最高溫度,2026-04-30T06:00:00+08:00,2026-04-30T18:00:00+08:00,18
連江縣,最高溫度,2026-04-30T18:00:00+08:00,2026-05-01T06:00:00+08:00,18
連江縣,最高溫度,2026-05-01T06:00:00+08:00,2026-05-01T18:00:00+08:00,20
連江縣,最高溫度,2026-05-01T18:00:00+08:00,2026-05-02T06:00:00+08:00,19
連江縣,最高溫度,2026-05-02T06:00:00+08:00,2026-05-02T18:00:00+08:00,21
連江縣,最高溫度,2026-05-02T18:00:00+08:00,2026-05-03T06:00:00+08:00,19
連江縣,最高溫度,2026-05-03T06:00:00+08:00,2026-05-03T18:00:00+08:00,21
連江縣,最高溫度,2026-05-03T18:00:00+08:00,2026-05-04T06:00:00+08:00,20
連江縣,最低溫度,2026-04-27T12:00:00+08:00,2026-04-27T18:00:00+08:00,20
連江縣,最低溫度,2026-04-27T18:00:00+08:00,2026-04-28T06:00:00+08:00,18
連江縣,最低溫度,2026-04-28T06:00:00+08:00,2026-04-28T18:00:00+08:00,18
連江縣,最低溫度,2026-04-28T18:00:00+08:00,2026-04-29T06:00:00+08:00,18
連江縣,最低溫度,2026-04-29T06:00:00+08:00,2026-04-29T18:00:00+08:00,16
連江縣,最低溫度,2026-04-29T18:00:00+08:00,2026-04-30T06:00:00+08:00,14
連江縣,最低溫度,2026-04-30T06:00:00+08:00,2026-04-30T18:00:00+08:00,14
連江縣,最低溫度,2026-04-30T18:00:00+08:00,2026-05-01T06:00:00+08:00,17
連江縣,最低溫度,2026-05-01T06:00:00+08:00,2026-05-01T18:00:00+08:00,17
連江縣,最低溫度,2026-05-01T18:00:00+08:00,2026-05-02T06:00:00+08:00,17
連江縣,最低溫度,2026-05-02T06:00:00+08:00,2026-05-02T18:00:00+08:00,18
連江縣,最低溫度,2026-05-02T18:00:00+08:00,2026-05-03T06:00:00+08:00,18
連江縣,最低溫度,2026-05-03T06:00:00+08:00,2026-05-03T18:00:00+08:00,18
連江縣,最低溫度,2026-05-03T18:00:00+08:00,2026-05-04T06:00:00+08:00,18
連江縣,12小時降雨機率,2026-04-27T12:00:00+08:00,2026-04-27T18:00:00+08:00,0
連江縣,12小時降雨機率,2026-04-27T18:00:00+08:00,2026-04-28T06:00:00+08:00,10
連江縣,12小時降雨機率,2026-04-28T06:00:00+08:00,2026-04-28T18:00:00+08:00,20
連江縣,12小時降雨機率,2026-04-28T18:00:00+08:00,2026-04-29T06:00:00+08:00,30
連江縣,12小時降雨機率,2026-04-29T06:00:00+08:00,2026-04-29T18:00:00+08:00,70
連江縣,12小時降雨機率,2026-04-29T18:00:00+08:00,2026-04-30T06:00:00+08:00,70
連江縣,12小時降雨機率,2026-04-30T06:00:00+08:00,2026-04-30T18:00:00+08:00,-
連江縣,12小時降雨機率,2026-04-30T18:00:00+08:00,2026-05-01T06:00:00+08:00,-
連江縣,12小時降雨機率,2026-05-01T06:00:00+08:00,2026-05-01T18:00:00+08:00,-
連江縣,12小時降雨機率,2026-05-01T18:00:00+08:00,2026-05-02T06:00:00+08:00,-
連江縣,12小時降雨機率,2026-05-02T06:00:00+08:00,2026-05-02T18:00:00+08:00,-
連江縣,12小時降雨機率,2026-05-02T18:00:00+08:00,2026-05-03T06:00:00+08:00,-
連江縣,12小時降雨機率,2026-05-03T06:00:00+08:00,2026-05-03T18:00:00+08:00,-
連江縣,12小時降雨機率,2026-05-03T18:00:00+08:00,2026-05-04T06:00:00+08:00,-
連江縣,天氣現象,2026-04-27T12:00:00+08:00,2026-04-27T18:00:00+08:00,晴時多雲
連江縣,天氣現象,2026-04-27T18:00:00+08:00,2026-04-28T06:00:00+08:00,晴時多雲
連江縣,天氣現象,2026-04-28T06:00:00+08:00,2026-04-28T18:00:00+08:00,晴時多雲
連江縣,天氣現象,2026-04-28T18:00:00+08:00,2026-04-29T06:00:00+08:00,陰時多雲短暫陣雨或雷雨
連江縣,天氣現象,2026-04-29T06:00:00+08:00,2026-04-29T18:00:00+08:00,陰短暫陣雨或雷雨
連江縣,天氣現象,2026-04-29T18:00:00+08:00,2026-04-30T06:00:00+08:00,陰短暫陣雨或雷雨
連江縣,天氣現象,2026-04-30T06:00:00+08:00,2026-04-30T18:00:00+08:00,陰短暫陣雨
連江縣,天氣現象,2026-04-30T18:00:00+08:00,2026-05-01T06:00:00+08:00,晴時多雲
